TGID,Kmem Count,Vmem Count,Slab Count
7183,502,1000,191
13333,1000,0,1
3649,1000,7,227
3649,1000,7,131
13333,1000,0,1
7712,8,1000,10
13333,1000,0,1
3649,1000,5,123
3649,1000,5,123
13333,1000,0,1
3649,1000,4,123
13333,1000,0,1
13422,52,105,1000
13423,69,124,1000
13424,73,131,1000
36,28,2,1000
4486,259,29,1000
3649,1000,10,153
13426,54,107,1000
13333,1000,0,1
3649,1000,8,133
13333,1000,0,1
727,378,105,1000
727,378,105,1000
727,379,105,1000
727,380,105,1001
706,1000,85,461
1,1000,4,796
3649,1000,7,133
13333,1000,0,1
3649,1000,5,185
13333,1000,0,0
7183,1000,343,489
3649,1000,5,398
3817,1000,0,241
7712,140,1000,94
7183,911,151,1000
13333,1000,0,1
3649,1000,1,179
3817,1000,0,213
7712,276,1000,263
7183,1000,104,201
13333,1000,0,1
3649,1000,4,168
7183,1000,407,278
3817,1000,0,230
3649,1000,2,291
13204,767,44,1000
7712,842,716,1000
3817,1000,0,203
13333,1000,0,1
7183,1000,79,318
3649,1000,6,180
13333,1000,0,1
3649,1000,6,129
7183,1000,337,180
13333,1000,0,1
3649,1000,8,163
13333,1000,0,1
3649,1000,7,130
13333,1000,0,1
13429,51,104,1000
13430,69,121,1000
13431,70,124,1000
4486,228,28,1001
4486,228,28,1000
3649,1000,17,168
13333,1000,0,1
13432,51,105,1000
3649,1000,3,123
13333,1000,0,1
3649,1000,4,125
727,396,216,1000
727,396,216,1000
727,396,216,1001
13333,1000,0,1
706,1000,87,462
1,1000,4,796
3649,1000,2,127
13333,1000,0,1
7183,1000,217,918
13204,841,48,1000
3649,1000,1,519
3817,1000,0,229
7712,1000,342,822
7712,114,1000,106
13333,1000,0,1
7183,1000,242,312
3649,1000,1,363
3817,1000,0,245
13204,783,69,1000
13333,1000,0,1
3649,1000,6,127
7712,6,1000,2
13333,1000,0,1
3649,1000,8,133
13333,1000,0,1
3649,1000,7,183
7183,1000,426,288
13333,1000,0,1
3649,1000,3,438
13204,800,57,1000
4486,5,3,1000
13333,1000,0,1
7183,553,1000,103
3649,1000,5,174
7183,420,1000,95
13333,1000,0,1
3649,1000,1,290
13204,842,49,1000
3649,1000,2,272
7183,1000,79,329
13204,862,46,1000
13333,1000,0,1
13434,54,108,1000
13435,65,113,1000
13436,73,134,1000
4486,369,67,1000
7183,493,1000,90
3649,1000,11,304
13437,51,108,1000
13204,739,55,1000
13333,1000,0,1
3649,1000,3,140
7183,547,1000,116
7712,243,1000,319
7183,912,1000,639
13333,1000,0,1
3649,1000,3,374
3817,1000,0,216
13204,688,61,1000
7712,107,1000,74
7183,1000,87,270
3649,1000,2,331
727,429,106,1001
727,430,106,1002
727,430,106,1002
727,431,106,1002
727,431,106,1003
727,431,106,1004
1,395,153,1000
706,1000,90,556
3817,1000,0,214
13333,1000,0,1
13204,677,67,1000
7183,1000,56,377
3649,1000,3,538
3817,1000,0,208
13204,771,48,1000
13333,1000,0,1
7712,294,1000,277
3649,1000,3,132
7183,1000,889,898
13204,641,105,1000
7712,130,1000,118
13333,1000,0,1
7183,872,1000,360
3649,1000,5,410
3817,1000,0,215
13440,8,114,1000
7183,338,1000,127
3649,1000,1,284
13333,1000,0,1
13204,738,36,1000
7712,139,1000,123
3817,1000,0,228
7183,1000,146,181
3649,1000,1,244
13333,1000,0,1
7183,1000,626,223
3649,1000,3,466
3817,1000,0,233
7712,674,1000,666
13204,780,44,1000
13333,1000,0,1
7712,195,1000,144
3649,1000,2,299
7183,1000,50,323
7712,45,1000,98
7712,46,1000,98
3817,1000,0,236
13204,708,47,1000
7183,1000,80,182
13333,1000,0,1
3649,1000,0,464
3817,1000,0,223
13204,884,32,1000
7183,945,1000,398
7712,322,1000,451
3649,1000,3,356
3817,1000,0,244
13333,1000,0,1
13204,783,65,1000
7183,1000,94,330
3649,1000,0,533
3817,1000,0,231
13204,712,54,1000
13333,1000,0,1
3649,1000,2,248
7183,1000,99,221
3817,1000,0,232
7712,575,1000,500
13204,608,64,1000
13444,56,112,1000
13333,1000,0,1
13445,72,128,1000
13446,73,128,1000
4486,153,34,1000
3649,1000,2,316
3817,1000,0,222
13204,709,80,1000
13447,51,109,1000
7183,934,1000,267
7183,1000,171,181
3649,1000,1,308
3817,1000,0,240
13333,1000,0,1
13204,693,65,1000
3649,1000,0,598
7183,1000,65,380
3817,1000,0,223
7712,414,1000,337
13204,802,62,1000
13333,1000,0,1
727,393,75,1000
706,1000,84,463
1,1000,4,796
3649,1000,3,436
7183,842,1000,346
7712,372,1000,377
13204,886,35,1000
13333,1000,0,0
7183,1000,788,302
3649,1000,1,409
13204,683,87,1000
3817,1000,0,242
13333,1000,0,1
3649,1000,1,291
7712,104,1000,159
7183,1000,135,248
3817,1000,0,216
13204,905,46,1000
7183,276,1000,82
13333,1000,0,1
3649,1000,0,268
7712,346,1000,336
13204,783,72,1000
3817,1000,0,212
3649,1000,1,281
7712,189,1000,202
7183,1000,868,540
7183,1001,868,540
13204,749,78,1000
13333,1000,0,1
3817,1000,0,199
3649,1000,0,574
7712,7,1000,39
7183,1000,838,455
3817,1000,0,213
13333,1000,0,1
3649,1000,3,290
7183,834,1000,372
13333,1000,0,1
3649,1000,2,368
3817,1000,0,216
7183,1000,94,273
3817,1000,0,238
13204,862,32,1000
3649,1000,1,366
7712,1000,966,771
13333,1000,0,1
7183,1000,778,214
13204,686,90,1000
3649,1000,0,296
3817,1000,0,248
7183,1000,131,199
13204,692,81,1000
13333,1000,0,1
7712,521,1000,480
3649,1000,6,169
7183,1000,560,176
13204,720,78,1000
13333,1000,0,1
3817,1000,0,246
3649,1000,12,153
13453,58,106,1000
13455,70,124,1000
4486,266,43,1000
13456,51,104,1000
54,9,6,1000
13333,1000,0,1
13457,52,110,1000
3649,1000,10,152
3649,1000,7,127
13333,1000,0,1
3649,1000,3,341
13333,1000,0,1
727,416,154,1000
727,416,154,1000
727,416,154,1001
727,416,154,1001
727,416,154,1002
706,1000,84,487
1,1000,4,796
3649,1000,6,134
13333,1000,0,1
3649,1000,7,128
13333,1000,0,1
3649,1000,7,134
13333,1000,0,1
3649,1000,6,132
7183,1000,123,245
3649,1000,4,368
3817,1000,0,225
13333,1000,0,1
7183,1000,382,241
3817,1000,0,215
3649,1000,4,294
13333,1000,1,7
3649,1000,3,123
13333,1000,0,1
3649,1000,5,127
13333,1000,0,1
3649,1000,7,131
13333,1000,0,1
3649,1000,5,123
13333,1000,0,0
3649,1000,5,123
13333,1000,0,1
13461,51,104,1000
13462,68,123,1000
13463,73,131,1000
4486,240,30,1000
54,10,7,1000
3649,1000,12,352
13464,51,107,1000
13333,1000,0,1
3649,1000,7,134
13333,1000,0,1
727,412,179,1000
706,1000,84,457
1,1000,4,796
3649,1000,6,134
13333,1000,0,1
3649,1000,5,163
13333,1000,0,1
7183,1000,789,338
7712,356,1000,307
3649,1000,1,483
7183,1000,387,325
3817,1000,0,224
7712,586,1000,457
13333,1000,0,1
3649,1000,1,206
13204,688,48,1000
3817,1000,0,232
7712,0,1000,0
7183,1000,682,221
13333,1000,0,1
3649,1000,5,404
3817,1000,0,230
7183,1000,101,203
7712,520,1000,520
13333,1000,0,1
3649,1000,1,297
7183,1000,154,194
3817,1000,0,222
3649,1000,1,284
13204,683,64,1000
13333,1000,0,1
7183,300,1000,177
3817,1000,0,260
7712,187,1000,221
3649,1000,1,272
7183,307,1000,80
13333,1000,0,1
3649,1000,2,315
4486,5,0,1000
3817,1000,0,219
7183,1000,747,200
13204,737,81,1000
13333,1000,0,1
3649,1000,1,272
7712,633,1000,645
3817,1000,0,235
7183,800,1000,341
13204,842,62,1000
13333,1000,0,1
3649,1000,1,542
7183,1000,328,198
3817,1000,0,229
13204,714,87,1000
3649,1000,6,173
13470,50,102,1000
13471,63,116,1000
13472,73,124,1000
4486,452,56,1000
16,22,5,1000
13333,1000,0,1
3817,1000,0,244
13204,613,77,1000
13473,51,106,1000
7183,950,1000,305
3649,1000,1,298
7183,1000,122,466
7712,327,1000,205
3817,1000,0,221
13333,1000,0,1
3649,1000,1,295
7183,1000,80,272
3817,1000,0,215
3649,1000,2,498
13333,1000,0,1
7712,702,1000,711
3817,1000,0,237
727,397,143,1000
706,1000,87,466
1,1000,4,825
7183,1000,65,377
7712,312,1000,209
13333,1000,1,7
3649,1000,3,373
3817,1000,0,231
7183,1000,170,476
3649,1000,3,292
7183,482,1000,182
3817,1000,0,232
13333,1000,0,1
3649,1000,1,514
3817,1000,0,233
7712,472,1000,404
7183,582,1000,258
13333,1000,0,0
3649,1000,4,400
13204,759,68,1000
7183,1000,84,243
3817,1000,0,218
13333,1000,0,1
3649,1000,3,362
3817,1000,0,243
7183,578,1000,233
13333,1000,0,1
3649,1000,1,427
3817,1000,0,233
7712,325,1000,287
7183,1000,336,240
3649,1000,2,380
13333,1000,0,1
7712,268,1000,243
7183,1000,186,285
3817,1000,0,239
3649,1000,2,259
3817,1000,0,202
13333,1000,0,1
3649,1000,2,360
13333,1000,0,0
7183,1000,293,263
3817,1000,0,232
3649,1000,1,501
7183,676,1000,223
13333,1000,0,1
3649,1000,3,483
3817,1000,0,236
7183,1000,192,319
13333,1000,0,0
3649,1000,8,356
13476,52,108,1000
13477,71,124,1000
13478,73,144,1000
4486,247,35,1000
4486,247,35,1001
7183,1000,135,329
3817,1000,0,212
13479,54,105,1000
3649,1000,1,586
13333,1000,0,1
3817,1000,0,239
7712,728,1000,595
7183,812,1000,176
3649,1000,1,255
13333,1000,0,1
3817,1000,0,212
7183,1000,531,188
727,403,84,1001
727,403,84,1001
727,403,84,1001
727,403,84,1002
706,1000,91,461
1,1000,4,796
3649,1000,0,387
3817,1000,0,201
7712,580,1000,528
13333,1000,0,1
7183,1000,110,248
3649,1000,1,294
3817,1000,0,236
3649,1000,2,299
13333,1000,0,1
7183,779,1000,291
3649,1000,1,165
7183,456,1000,126
13333,1000,0,1
3817,1000,0,237
7183,1000,918,355
3649,1000,3,551
3817,1000,0,214
7712,705,1000,581
13204,811,55,1000
7183,1000,120,185
13333,1000,0,1
3649,1000,1,316
3817,1000,0,210
7712,518,1000,394
7183,1000,122,215
7712,16,1000,21
36,154,7,1000
13333,1000,0,1
3649,1000,2,402
3817,1000,0,232
3649,1000,1,225
7183,1000,53,415
13333,1000,0,1
13204,755,36,1000
3817,1000,0,250
3649,1000,1,206
7183,1000,858,262
7712,216,1000,215
13333,1000,0,1
7183,1000,535,200
3649,1000,1,383
3817,1000,0,236
7183,1000,96,212
13333,1000,0,1
3649,1000,2,254
3817,1000,0,206
7712,737,1000,760
7712,106,1000,90
7712,106,1000,91
13333,1000,0,0
7183,873,1000,239
3649,1000,1,261
3817,1000,0,213
7183,150,1000,60
7712,109,1000,100
3649,1000,1,316
13486,51,109,1000
13487,66,115,1000
13488,59,114,1000
30,14,11,1000
3817,1000,0,224
13333,1000,0,1
4486,244,46,1000
4486,244,46,1001
13489,51,110,1000
7183,1000,97,219
13204,878,28,1000
3649,1000,1,355
7712,572,1000,767
3817,1000,0,217
13333,1000,0,1
7183,1000,114,341
3649,1000,1,354
7712,323,1000,308
3817,1000,0,221
13204,637,70,1000
7183,1000,102,161
13333,1000,0,1
3649,1000,2,372
727,365,127,1000
706,1000,84,469
1,1000,4,796
3817,1000,0,220
7712,710,1000,898
13204,730,79,1000
7183,1000,354,175
3649,1000,1,422
13333,1000,0,1
13204,774,61,1000
7712,432,1000,422
3817,1000,0,224
7183,1000,250,203
3649,1000,1,174
7712,1000,499,911
13333,1000,0,1
7183,757,1000,168
13204,757,74,1000
3817,1000,0,224
7712,154,1000,129
3649,1000,0,466
3817,1000,0,201
7183,719,1000,168
13333,1000,0,1
3649,1000,3,170
7712,374,1000,239
7183,1000,466,199
3817,1000,0,227
13204,724,69,1000
13333,1000,0,1
3649,1000,1,326
7712,385,1000,331
3817,1000,0,230
13204,746,64,1000
7183,1000,162,199
3649,1000,3,343
13333,1000,0,1
7183,1000,157,182
3817,1000,0,234
3649,1000,1,294
13333,1000,0,1
3649,1000,2,131
7712,13,1000,6
13333,1000,0,1
3649,1000,2,392
7183,1000,327,273
3817,1000,0,229
7183,396,1000,169
