TGID,Kids Length,Total Percent
7183,57,50.000000
3649,1,33.000000
3649,1,11.000000
7183,57,50.000000
3636,1,77.000000
3636,1,10.000000
3649,1,10.000000
7183,57,10.000000
3636,1,38.000000
3649,1,20.000000
3649,1,34.000000
3636,1,24.000000
4486,2,93.000000
7183,57,10.000000
7712,26,0.000000
3636,1,20.000000
7183,57,20.000000
3649,1,55.000000
3636,1,60.000000
7712,26,20.000000
3636,1,40.000000
7183,57,10.000000
3649,1,30.000000
3636,1,75.000000
7712,26,10.000000
7183,57,50.000000
3636,1,10.000000
7712,26,0.000000
7183,57,20.000000
3636,1,32.000000
7712,27,10.000000
7183,57,30.000000
3636,1,24.000000
7712,27,20.000000
7183,56,60.000000
3636,1,49.000000
7712,27,20.000000
3649,1,0.000000
7183,56,40.000000
3636,1,50.000000
7712,27,30.000000
727,16,90.000000
7183,56,30.000000
7712,27,20.000000
7712,27,73.000000
7183,56,55.000000
3636,1,47.000000
3649,1,10.000000
7183,56,30.000000
7183,56,42.000000
3636,1,70.000000
7712,27,20.000000
3649,1,10.000000
7712,27,50.000000
4486,2,63.000000
4486,3,110.000000
7712,28,87.000000
7183,56,70.000000
3636,1,70.000000
3649,1,40.000000
3636,1,0.000000
7183,56,72.000000
7712,28,20.000000
3649,1,50.000000
3636,1,74.000000
7712,28,20.000000
7183,56,40.000000
3649,1,0.000000
3636,1,10.000000
7712,28,30.000000
7183,56,40.000000
4486,3,79.000000
3649,1,0.000000
3636,1,10.000000
7712,28,52.000000
7183,56,60.000000
7183,56,60.000000
3636,1,20.000000
7712,28,10.000000
7183,56,10.000000
3636,1,26.000000
7712,28,0.000000
7183,56,10.000000
3636,1,11.000000
7183,56,30.000000
7183,56,10.000000
3636,1,0.000000
7183,56,30.000000
7183,56,0.000000
3636,1,20.000000
7183,56,20.000000
3636,1,50.000000
7183,56,20.000000
7183,56,50.000000
3636,1,57.000000
7183,56,52.000000
3636,1,62.000000
7712,28,0.000000
3649,1,22.000000
7183,56,60.000000
7712,28,20.000000
3636,1,41.000000
3636,1,57.000000
7183,56,50.000000
7712,28,20.000000
4486,3,0.000000
4486,3,90.000000
3636,1,76.000000
3649,1,62.000000
7183,56,10.000000
4926,16,93.000000
7183,56,40.000000
7183,56,30.000000
7712,28,20.000000
7183,56,40.000000
7712,28,10.000000
7183,56,40.000000
7712,28,0.000000
7183,56,30.000000
3636,1,0.000000
7712,28,30.000000
7183,56,40.000000
3636,1,10.000000
7183,56,0.000000
7183,57,34.000000
3636,1,0.000000
7712,28,40.000000
3636,1,36.000000
7183,57,50.000000
7183,57,50.000000
7183,57,40.000000
3636,1,76.000000
7183,57,50.000000
3636,1,31.000000
4486,4,62.000000
4486,4,91.000000
4486,4,13.000000
7183,57,30.000000
3636,1,0.000000
4486,4,97.000000
7183,57,40.000000
7712,25,30.000000
3649,1,40.000000
3636,1,42.000000
3636,1,0.000000
7183,57,30.000000
7712,25,10.000000
3649,1,10.000000
7183,57,30.000000
7712,25,20.000000
3636,1,40.000000
7712,25,80.000000
7183,57,72.000000
3649,1,40.000000
3636,1,32.000000
7183,57,30.000000
3649,1,0.000000
3636,1,35.000000
7183,57,0.000000
7712,25,20.000000
7183,57,20.000000
3636,1,79.000000
727,16,92.000000
3636,1,65.000000
7183,57,10.000000
7183,57,0.000000
4486,4,0.000000
3636,1,30.000000
3636,1,79.000000
7712,25,0.000000
7183,57,30.000000
7712,25,20.000000
7183,57,40.000000
3636,1,60.000000
7712,25,10.000000
7183,57,30.000000
3636,1,66.000000
7712,25,0.000000
7183,57,30.000000
3636,1,74.000000
7712,25,10.000000
7183,57,20.000000
7183,57,20.000000
4486,4,10.000000
3636,1,13.000000
7712,25,0.000000
7183,57,10.000000
7712,25,31.000000
7183,57,30.000000
7712,25,50.000000
3636,1,20.000000
7183,57,40.000000
3636,1,47.000000
7712,25,80.000000
4486,4,0.000000
4486,4,92.000000
4486,4,92.000000
7183,57,0.000000
3636,1,88.000000
3649,1,0.000000
7183,57,50.000000
7183,57,20.000000
7712,25,10.000000
7183,57,40.000000
7712,26,89.000000
