Timestamp,PID,Comm,Source_IP,Source_Port,Destination_IP,Destination_Port,Sent_Bytes,Received_Bytes
2024-12-11 16:26:59,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1584814,6301
2024-12-11 16:26:59,198621,python3,10.193.121.196,54507,44.206.71.62,47873,181390,5469
2024-12-11 16:26:59,198621,python3,10.193.121.196,24745,44.196.3.45,47873,513775,451715
2024-12-11 16:26:59,198621,python3,10.193.121.196,62111,44.206.71.62,47873,427585,5469
2024-12-11 16:26:59,198621,python3,10.193.121.196,64159,44.206.71.62,47873,513775,425651
2024-12-11 16:26:59,198621,python3,10.193.121.196,6289,44.196.3.45,47873,296281,5469
2024-12-11 16:27:00,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1633803,6301
2024-12-11 16:27:00,198621,python3,10.193.121.196,57503,44.206.71.62,47873,513775,454611
2024-12-11 16:27:00,198621,python3,10.193.121.196,6801,44.196.3.45,47873,181390,5469
2024-12-11 16:27:00,198621,python3,10.193.121.196,7825,44.196.3.45,47873,82912,5469
2024-12-11 16:27:00,198621,python3,10.193.121.196,2208,44.206.71.62,47873,513775,5474
2024-12-11 16:27:00,198621,python3,10.193.121.196,54507,44.206.71.62,47873,312694,5469
2024-12-11 16:27:01,198621,python3,10.193.121.196,10385,44.196.3.45,47873,230629,5469
2024-12-11 16:27:01,198621,python3,10.193.121.196,6289,44.196.3.45,47873,513775,5474
2024-12-11 16:27:01,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1649031,6301
2024-12-11 16:27:01,198621,python3,10.193.121.196,58603,44.206.71.62,47873,296281,5469
2024-12-11 16:27:02,198621,python3,10.193.121.196,12433,44.196.3.45,47873,181390,5469
2024-12-11 16:27:02,198621,python3,10.193.121.196,2208,44.206.71.62,47873,513775,451715
2024-12-11 16:27:02,198621,python3,10.193.121.196,10897,44.196.3.45,47873,181390,5469
2024-12-11 16:27:02,198621,python3,10.193.121.196,54507,44.206.71.62,47873,378346,5469
2024-12-11 16:27:02,198621,python3,10.193.121.196,16529,44.196.3.45,47873,181390,5469
2024-12-11 16:27:02,198621,python3,10.193.121.196,6289,44.196.3.45,47873,513775,443027
2024-12-11 16:27:02,198621,python3,10.193.121.196,10385,44.196.3.45,47873,513775,46275
2024-12-11 16:27:02,198621,python3,10.193.121.196,7825,44.196.3.45,47873,247042,5469
2024-12-11 16:27:02,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1656287,6301
2024-12-11 16:27:02,198621,python3,10.193.121.196,58603,44.206.71.62,47873,513775,5474
2024-12-11 16:27:03,198621,python3,10.193.121.196,10897,44.196.3.45,47873,247042,5469
2024-12-11 16:27:03,198621,python3,10.193.121.196,6801,44.196.3.45,47873,513775,5474
2024-12-11 16:27:03,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1657212,6301
2024-12-11 16:27:03,198621,python3,10.193.121.196,58603,44.206.71.62,47873,513775,319685
2024-12-11 16:27:03,198621,python3,10.193.121.196,62699,44.206.71.62,47873,279868,5469
2024-12-11 16:27:04,198621,python3,10.193.121.196,16529,44.196.3.45,47873,513775,5474
2024-12-11 16:27:04,198621,python3,10.193.121.196,7825,44.196.3.45,47873,378346,5469
2024-12-11 16:27:04,198621,python3,10.193.121.196,748,44.206.71.62,47873,82912,5469
2024-12-11 16:27:04,198621,python3,10.193.121.196,10897,44.196.3.45,47873,394759,5469
